Insight,Date,Value,Unit
Low,2014-12-01,37,°F
Average,2014-12-01,56,°F
High,2015-01-01,81,°F
Average,2015-01-01,56,°F
Low,2015-01-01,37,°F
Average,2015-02-01,57,°F
Low,2015-02-01,37,°F
High,2015-02-01,73,°F
Average,2015-03-01,58,°F
Low,2015-03-01,41,°F
High,2015-03-01,73,°F
Average,2015-04-01,58,°F
Low,2015-04-01,46,°F
High,2015-04-01,70,°F
Average,2015-05-01,58,°F
Low,2015-05-01,45,°F
High,2015-05-01,73,°F
High,2015-06-01,81,°F
Low,2015-06-01,45,°F
Average,2015-06-01,57,°F
Low,2015-07-01,37,°F
High,2015-07-01,70,°F
Average,2015-07-01,57,°F
Average,2015-08-01,58,°F
Low,2015-08-01,41,°F
High,2015-08-01,84,°F
Average,2015-09-01,57,°F
Low,2015-09-01,41,°F
High,2015-09-01,72,°F
Average,2015-10-01,58,°F
Low,2015-10-01,37,°F
High,2015-10-01,73,°F
Average,2015-11-01,58,°F
Low,2015-11-01,46,°F
High,2015-11-01,72,°F
High,2015-12-01,73,°F
Average,2015-12-01,57,°F
Low,2015-12-01,37,°F
Low,2016-01-01,36,°F
Average,2016-01-01,58,°F
High,2016-01-01,75,°F
Average,2016-02-01,60,°F
Low,2016-02-01,39,°F
High,2016-02-01,79,°F
Average,2016-03-01,60,°F
Low,2016-03-01,41,°F
High,2016-03-01,75,°F
Average,2016-04-01,59,°F
Low,2016-04-01,45,°F
High,2016-04-01,86,°F
Average,2016-05-01,58,°F
Low,2016-05-01,46,°F
High,2016-05-01,72,°F
Average,2016-06-01,57,°F
Low,2016-06-01,43,°F
High,2016-06-01,75,°F
High,2016-07-01,68,°F
Average,2016-07-01,57,°F
Low,2016-07-01,45,°F
Low,2016-08-01,41,°F
High,2016-08-01,70,°F
Average,2016-08-01,57,°F
Average,2016-09-01,57,°F
Low,2016-09-01,41,°F
High,2016-09-01,72,°F
Average,2016-10-01,58,°F
High,2016-10-01,84,°F
Low,2016-10-01,43,°F
Average,2016-11-01,57,°F
Low,2016-11-01,45,°F
High,2016-11-01,72,°F
Average,2016-12-01,56,°F
Low,2016-12-01,37,°F
High,2016-12-01,70,°F
High,2017-01-01,72,°F
Low,2017-01-01,36,°F
Average,2017-01-01,56,°F
High,2017-02-01,75,°F
Average,2017-02-01,56,°F
Low,2017-02-01,36,°F
Average,2017-03-01,57,°F
Low,2017-03-01,37,°F
High,2017-03-01,81,°F
Average,2017-04-01,58,°F
Low,2017-04-01,37,°F
High,2017-04-01,73,°F
Average,2017-05-01,58,°F
Low,2017-05-01,45,°F
High,2017-05-01,72,°F
Average,2017-06-01,57,°F
Low,2017-06-01,46,°F
High,2017-06-01,68,°F
High,2017-07-01,72,°F
Average,2017-07-01,57,°F
Low,2017-07-01,45,°F
Average,2017-08-01,57,°F
Low,2017-08-01,43,°F
High,2017-08-01,73,°F
Average,2017-09-01,57,°F
Low,2017-09-01,39,°F
High,2017-09-01,72,°F
High,2017-10-01,73,°F
Low,2017-10-01,41,°F
Average,2017-10-01,57,°F
Average,2017-11-01,57,°F
Low,2017-11-01,41,°F
High,2017-11-01,72,°F
Average,2017-12-01,56,°F
Low,2017-12-01,34,°F
High,2017-12-01,75,°F
Average,2018-01-01,56,°F
Low,2018-01-01,36,°F
High,2018-01-01,73,°F
High,2018-02-01,81,°F
Average,2018-02-01,57,°F
Low,2018-02-01,37,°F
High,2018-03-01,73,°F
Average,2018-03-01,57,°F
Low,2018-03-01,39,°F
Average,2018-04-01,57,°F
Low,2018-04-01,45,°F
High,2018-04-01,73,°F
Average,2018-05-01,57,°F
Low,2018-05-01,45,°F
High,2018-05-01,73,°F
Average,2018-06-01,57,°F
Low,2018-06-01,46,°F
High,2018-06-01,70,°F
Average,2018-07-01,57,°F
Low,2018-07-01,45,°F
High,2018-07-01,68,°F
High,2018-08-01,81,°F
Low,2018-08-01,34,°F
Average,2018-08-01,56,°F
Average,2018-09-01,57,°F
Low,2018-09-01,43,°F
High,2018-09-01,72,°F
Average,2018-10-01,57,°F
Low,2018-10-01,43,°F
High,2018-10-01,72,°F
Average,2018-11-01,58,°F
Low,2018-11-01,45,°F
High,2018-11-01,73,°F
Average,2018-12-01,56,°F
Low,2018-12-01,37,°F
High,2018-12-01,73,°F
Average,2019-01-01,57,°F
Low,2019-01-01,36,°F
High,2019-01-01,73,°F
High,2019-02-01,75,°F
Average,2019-02-01,58,°F
Low,2019-02-01,41,°F
Average,2019-03-01,59,°F
Low,2019-03-01,46,°F
High,2019-03-01,72,°F
Average,2019-04-01,59,°F
Low,2019-04-01,48,°F
High,2019-04-01,75,°F
Average,2019-05-01,58,°F
Low,2019-05-01,43,°F
High,2019-05-01,72,°F
High,2019-06-01,70,°F
Average,2019-06-01,58,°F
Low,2019-06-01,45,°F
Average,2019-07-01,57,°F
Low,2019-07-01,43,°F
High,2019-07-01,70,°F
Average,2019-08-01,57,°F
Low,2019-08-01,41,°F
High,2019-08-01,70,°F
High,2019-09-01,72,°F
Average,2019-09-01,57,°F
Low,2019-09-01,41,°F
Average,2019-10-01,56,°F
Low,2019-10-01,39,°F
High,2019-10-01,72,°F
Average,2019-11-01,58,°F
Low,2019-11-01,43,°F
High,2019-11-01,79,°F
High,2019-12-01,72,°F
Average,2019-12-01,57,°F
Low,2019-12-01,41,°F
Average,2020-01-01,57,°F
Low,2020-01-01,37,°F
High,2020-01-01,73,°F
Average,2020-02-01,57,°F
Low,2020-02-01,34,°F
High,2020-02-01,82,°F
High,2020-03-01,75,°F
Average,2020-03-01,59,°F
Low,2020-03-01,39,°F
Average,2020-04-01,58,°F
Low,2020-04-01,43,°F
High,2020-04-01,73,°F
Average,2020-05-01,59,°F
Low,2020-05-01,43,°F
High,2020-05-01,82,°F
Average,2020-06-01,57,°F
Low,2020-06-01,45,°F
High,2020-06-01,79,°F
High,2020-07-01,68,°F
Average,2020-07-01,57,°F
Low,2020-07-01,45,°F
Average,2020-08-01,57,°F
Low,2020-08-01,43,°F
High,2020-08-01,72,°F
Average,2020-09-01,56,°F
Low,2020-09-01,37,°F
High,2020-09-01,72,°F
High,2020-10-01,70,°F
Average,2020-10-01,57,°F
Low,2020-10-01,43,°F
Average,2020-11-01,57,°F
Low,2020-11-01,41,°F
High,2020-11-01,70,°F
Average,2020-12-01,57,°F
Low,2020-12-01,39,°F
High,2020-12-01,72,°F
High,2021-01-01,72,°F
Average,2021-01-01,56,°F
Low,2021-01-01,36,°F
Average,2021-02-01,57,°F
Low,2021-02-01,37,°F
High,2021-02-01,72,°F
Average,2021-03-01,56,°F
Low,2021-03-01,41,°F
High,2021-03-01,70,°F
High,2021-04-01,72,°F
Average,2021-04-01,58,°F
Low,2021-04-01,39,°F
Average,2021-05-01,58,°F
Low,2021-05-01,45,°F
High,2021-05-01,72,°F
Average,2021-06-01,57,°F
Low,2021-06-01,41,°F
High,2021-06-01,70,°F
Average,2021-07-01,57,°F
Low,2021-07-01,46,°F
High,2021-07-01,70,°F
Average,2021-08-01,57,°F
Low,2021-08-01,45,°F
High,2021-08-01,70,°F
Average,2021-09-01,57,°F
Low,2021-09-01,39,°F
High,2021-09-01,72,°F
High,2021-10-01,84,°F
Average,2021-10-01,57,°F
Low,2021-10-01,39,°F
Average,2021-11-01,57,°F
Low,2021-11-01,37,°F
High,2021-11-01,70,°F
Average,2021-12-01,58,°F
Low,2021-12-01,41,°F
High,2021-12-01,73,°F
High,2022-01-01,72,°F
Low,2022-01-01,37,°F
Average,2022-01-01,57,°F
Average,2022-02-01,57,°F
Low,2022-02-01,41,°F
High,2022-02-01,70,°F
Average,2022-03-01,57,°F
Low,2022-03-01,39,°F
High,2022-03-01,70,°F
High,2022-04-01,70,°F
Average,2022-04-01,57,°F
Low,2022-04-01,41,°F
High,2022-05-01,77,°F
Average,2022-05-01,57,°F
Low,2022-05-01,46,°F
High,2022-06-01,72,°F
Average,2022-06-01,55,°F
Low,2022-06-01,45,°F
Average,2022-07-01,56,°F
Low,2022-07-01,41,°F
High,2022-07-01,70,°F
Average,2022-08-01,56,°F
Low,2022-08-01,39,°F
High,2022-08-01,72,°F
Average,2022-09-01,56,°F
Low,2022-09-01,41,°F
High,2022-09-01,70,°F
Average,2022-10-01,57,°F
Low,2022-10-01,43,°F
High,2022-10-01,70,°F
High,2022-11-01,70,°F
Low,2022-11-01,45,°F
Average,2022-11-01,57,°F
Low,2022-12-01,37,°F
High,2022-12-01,72,°F
Average,2022-12-01,56,°F
Average,2023-01-01,55,°F
Low,2023-01-01,37,°F
